TKT,DTK,TK,Size
0.20,3.00,0.95,22.00
0.20,3.25,0.95,22.00
0.20,3.50,0.95,22.00
0.20,3.75,0.95,22.00
0.20,4.00,0.95,22.00
0.20,5.00,0.95,30.00
0.20,6.00,0.95,30.00
0.20,7.00,0.95,37.00
0.02,0.00,0.90,114.00
0.02,0.25,0.90,194.00
0.02,0.50,0.90,194.00
0.02,0.75,0.90,265.00
0.02,1.00,0.90,
0.02,1.25,0.90,
0.02,1.50,0.90,
0.02,1.75,0.90,
0.02,2.00,0.90,
0.02,2.25,0.90,
0.02,2.50,0.90,
0.02,2.75,0.90,
0.02,3.00,0.90,
0.02,3.25,0.90,
0.02,3.50,0.90,
0.02,3.75,0.90,
0.02,4.00,0.90,
0.02,5.00,0.90,
0.02,6.00,0.90,
0.02,7.00,0.90,
0.03,0.00,0.90,76.00
0.03,0.25,0.90,129.00
0.03,0.50,0.90,129.00
0.03,0.75,0.90,129.00
0.03,1.00,0.90,176.00
0.03,1.25,0.90,221.00
0.03,1.50,0.90,
0.03,1.75,0.90,
0.03,2.00,0.90,
0.03,2.25,0.90,
0.03,2.50,0.90,
0.03,2.75,0.90,
0.03,3.00,0.90,
0.03,3.25,0.90,
0.03,3.50,0.90,
0.03,3.75,0.90,
0.03,4.00,0.90,
0.03,5.00,0.90,
0.03,6.00,0.90,
0.03,7.00,0.90,
0.04,0.00,0.90,57.00
0.04,0.25,0.90,96.00
0.04,0.50,0.90,96.00
0.04,0.75,0.90,96.00
0.04,1.00,0.90,96.00
0.04,1.25,0.90,132.00
0.04,1.50,0.90,132.00
0.04,1.75,0.90,166.00
0.04,2.00,0.90,198.00
0.04,2.25,0.90,
0.04,2.50,0.90,
0.04,2.75,0.90,
0.04,3.00,0.90,
0.04,3.25,0.90,
0.04,3.50,0.90,
0.04,3.75,0.90,
0.04,4.00,0.90,
0.04,5.00,0.90,
0.04,6.00,0.90,
0.04,7.00,0.90,
0.05,0.00,0.90,45.00
0.05,0.25,0.90,77.00
0.05,0.50,0.90,77.00
0.05,0.75,0.90,77.00
0.05,1.00,0.90,77.00
0.05,1.25,0.90,77.00
0.05,1.50,0.90,105.00
0.05,1.75,0.90,105.00
0.05,2.00,0.90,132.00
0.05,2.25,0.90,132.00
0.05,2.50,0.90,158.00
0.05,2.75,0.90,209.00
0.05,3.00,0.90,
0.05,3.25,0.90,
0.05,3.50,0.90,
0.05,3.75,0.90,
0.05,4.00,0.90,
0.05,5.00,0.90,
0.05,6.00,0.90,
0.05,7.00,0.90,
0.06,0.00,0.90,38.00
0.06,0.25,0.90,64.00
0.06,0.50,0.90,64.00
0.06,0.75,0.90,64.00
0.06,1.00,0.90,64.00
0.06,1.25,0.90,64.00
0.06,1.50,0.90,64.00
0.06,1.75,0.90,88.00
0.06,2.00,0.90,88.00
0.06,2.25,0.90,88.00
0.06,2.50,0.90,110.00
0.06,2.75,0.90,132.00
0.06,3.00,0.90,132.00
0.06,3.25,0.90,153.00
0.06,3.50,0.90,194.00
0.06,3.75,0.90,
0.06,4.00,0.90,
0.06,5.00,0.90,
0.06,6.00,0.90,
0.06,7.00,0.90,
0.07,0.00,0.90,32.00
0.07,0.25,0.90,55.00
0.07,0.50,0.90,55.00
0.07,0.75,0.90,55.00
0.07,1.00,0.90,55.00
0.07,1.25,0.90,55.00
0.07,1.50,0.90,55.00
0.07,1.75,0.90,55.00
0.07,2.00,0.90,75.00
0.07,2.25,0.90,75.00
0.07,2.50,0.90,75.00
0.07,2.75,0.90,94.00
0.07,3.00,0.90,94.00
0.07,3.25,0.90,113.00
0.07,3.50,0.90,113.00
0.07,3.75,0.90,131.00
0.07,4.00,0.90,149.00
0.07,5.00,0.90,
0.07,6.00,0.90,
0.07,7.00,0.90,
0.08,0.00,0.90,28.00
0.08,0.25,0.90,48.00
0.08,0.50,0.90,48.00
0.08,0.75,0.90,48.00
0.08,1.00,0.90,48.00
0.08,1.25,0.90,48.00
0.08,1.50,0.90,48.00
0.08,1.75,0.90,48.00
0.08,2.00,0.90,48.00
0.08,2.25,0.90,65.00
0.08,2.50,0.90,65.00
0.08,2.75,0.90,65.00
0.08,3.00,0.90,65.00
0.08,3.25,0.90,82.00
0.08,3.50,0.90,82.00
0.08,3.75,0.90,98.00
0.08,4.00,0.90,98.00
0.08,5.00,0.90,160.00
0.08,6.00,0.90,
0.08,7.00,0.90,
0.09,0.00,0.90,25.00
0.09,0.25,0.90,42.00
0.09,0.50,0.90,42.00
0.09,0.75,0.90,42.00
0.09,1.00,0.90,42.00
0.09,1.25,0.90,42.00
0.09,1.50,0.90,42.00
0.09,1.75,0.90,42.00
